,money,recent,frequency,cluster
0,2.0,106,1,1
1,977.0,136,1,1
2,2573.0,47,4,0
3,1261.0,33,1,2
4,1531.0,55,1,1
5,1705.0,111,1,1
6,1083.5,99,1,1
7,600.0,55,1,1
8,655.0,42,1,2
9,807.5,90,1,1
10,3541.5,31,1,2
11,406.5,118,1,1
12,2522.0,157,2,1
13,953.5,145,1,1
14,618.5,30,1,2
15,591.5,167,1,1
16,1203.0,144,1,1
17,2943.0,159,1,1
18,1890.0,90,1,1
19,1140.0,126,1,1
20,453.0,142,1,1
21,736.0,187,1,1
22,1748.0,30,1,2
23,2381.5,140,1,1
24,799.0,45,1,1
25,2198.0,74,1,1
26,35245.5,20,10,0
27,1104.5,6,1,2
28,9948.0,129,3,0
29,7940.0,12,4,0
30,16890.5,35,6,0
31,17665.5,13,5,0
32,15306.0,146,2,0
33,460525.82,1,98,0
34,68401.5,5,37,0
35,1148.0,61,1,1
36,75.0,179,1,1
37,1417.0,31,2,2
38,15881.74,37,7,0
39,1261.5,50,1,1
40,1209.0,12,1,2
41,18384.0,7,8,0
42,2124.0,190,1,1
43,743.5,136,1,1
44,4493.0,14,2,0
45,7820.5,61,3,0
46,5438.5,61,4,0
47,2000.0,98,1,1
48,6993.0,17,3,0
49,8243.5,23,2,0
50,802.0,188,1,1
51,1267.0,3,1,2
52,6531.0,12,5,0
53,3198.0,183,1,1
54,1710.0,117,1,1
55,1797.5,19,1,2
56,23123.0,3,5,0
57,1797.0,24,3,0
58,2084.5,153,2,1
59,1760.0,19,1,2
60,2956.0,84,2,0
61,2292.0,35,1,2
62,1164.0,129,1,1
63,771.0,56,1,1
64,286901.5,2,66,0
65,12127.0,27,3,0
66,1920.0,106,1,1
67,2230.0,152,2,1
68,536.0,55,1,1
69,5351.0,185,1,1
70,16400.24,45,3,0
71,8234.0,41,3,0
72,1888.0,161,1,1
73,1122.0,166,1,1
74,3568.0,28,3,0
75,1097.0,31,1,2
76,1341.0,82,2,1
77,8719.5,34,4,0
78,3211.0,73,2,0
79,7254.5,40,5,0
80,2886.0,161,1,1
81,12734.0,43,5,0
82,11306.0,70,5,0
83,717.0,76,1,1
84,3279.5,20,2,0
85,1571.0,24,1,2
86,2206.0,29,2,0
87,2567.5,4,2,2
88,741.5,133,1,1
89,5341.0,103,2,0
90,3192.5,135,2,0
91,22311.5,102,3,0
92,12568.0,17,4,0
93,9412.5,13,9,0
94,5423.0,84,1,1
95,8757.5,44,3,0
96,20556.0,21,13,0
97,7907.0,95,2,0
98,8106.5,140,3,0
99,7608.5,77,4,0
100,698.0,174,1,1
101,1694.0,155,1,1
102,8908.0,21,5,0
103,9419.0,13,10,0
104,544.5,171,1,1
105,3743.0,151,1,1
106,1719.5,169,1,1
107,1566.0,93,1,1
108,1705.0,84,1,1
109,7714.0,4,2,0
110,11385.0,27,5,0
111,913.0,93,1,1
112,34621.5,32,11,0
113,4117.5,19,3,0
114,3159.0,174,1,1
115,3398.0,111,1,1
116,690.0,36,1,2
117,1600.0,70,1,1
118,13114.0,19,5,0
119,1022.0,176,1,1
120,1023.5,151,1,1
121,18857.5,26,10,0
122,9193.0,83,3,0
123,5431.0,192,1,1
124,1736.3199999999995,2,3,2
125,2162.5,148,2,1
126,1545.0,13,1,2
127,2142.5,174,1,1
128,4163.0,49,2,0
129,2686.0,97,1,1
130,4413.0,13,2,0
131,3100.0,30,4,0
132,5057.0,149,2,0
133,4557.0,155,1,1
134,14584.0,76,6,0
135,3463.0,59,3,0
136,5590.0,43,3,0
137,1616.0,191,1,1
138,1345.0,96,1,1
139,1709.0,148,1,1
140,630.5,103,1,1
141,2930.0,118,1,1
142,795.0,125,1,1
143,28769.0,133,1,0
144,5421.0,11,2,0
145,6928.0,95,3,0
146,6514.0,1,1,2
147,3464.0,156,1,1
148,876.0,77,1,1
149,10984.0,66,3,0
150,2964.0,32,1,2
151,4380.5,149,1,1
152,2412.0,192,1,1
153,12775.0,34,4,0
154,5815.0,27,6,0
155,18617.0,5,11,0
