money,recent,frequency
2.0,106,1
977.0,136,1
2573.0,47,4
1261.0,33,1
1531.0,55,1
1705.0,111,1
1083.5,99,1
600.0,55,1
655.0,42,1
807.5,90,1
3541.5,31,1
406.5,118,1
2522.0,157,2
953.5,145,1
618.5,30,1
591.5,167,1
1203.0,144,1
2943.0,159,1
1890.0,90,1
1140.0,126,1
453.0,142,1
736.0,187,1
1748.0,30,1
2381.5,140,1
799.0,45,1
2198.0,74,1
35245.5,20,10
1104.5,6,1
9948.0,129,3
7940.0,12,4
16890.5,35,6
17665.5,13,5
15306.0,146,2
460525.82,1,98
68401.5,5,37
1148.0,61,1
75.0,179,1
1417.0,31,2
15881.74,37,7
1261.5,50,1
1209.0,12,1
18384.0,7,8
2124.0,190,1
743.5,136,1
4493.0,14,2
7820.5,61,3
5438.5,61,4
2000.0,98,1
6993.0,17,3
8243.5,23,2
802.0,188,1
1267.0,3,1
6531.0,12,5
3198.0,183,1
1710.0,117,1
1797.5,19,1
23123.0,3,5
1797.0,24,3
2084.5,153,2
1760.0,19,1
2956.0,84,2
2292.0,35,1
1164.0,129,1
771.0,56,1
286901.5,2,66
12127.0,27,3
1920.0,106,1
2230.0,152,2
536.0,55,1
5351.0,185,1
16400.24,45,3
8234.0,41,3
1888.0,161,1
1122.0,166,1
3568.0,28,3
1097.0,31,1
1341.0,82,2
8719.5,34,4
3211.0,73,2
7254.5,40,5
2886.0,161,1
12734.0,43,5
11306.0,70,5
717.0,76,1
3279.5,20,2
1571.0,24,1
2206.0,29,2
2567.5,4,2
741.5,133,1
5341.0,103,2
3192.5,135,2
22311.5,102,3
12568.0,17,4
9412.5,13,9
5423.0,84,1
8757.5,44,3
20556.0,21,13
7907.0,95,2
8106.5,140,3
7608.5,77,4
698.0,174,1
1694.0,155,1
8908.0,21,5
9419.0,13,10
544.5,171,1
3743.0,151,1
1719.5,169,1
1566.0,93,1
1705.0,84,1
7714.0,4,2
11385.0,27,5
913.0,93,1
34621.5,32,11
4117.5,19,3
3159.0,174,1
3398.0,111,1
690.0,36,1
1600.0,70,1
13114.0,19,5
1022.0,176,1
1023.5,151,1
18857.5,26,10
9193.0,83,3
5431.0,192,1
1736.3199999999997,2,3
2162.5,148,2
1545.0,13,1
2142.5,174,1
4163.0,49,2
2686.0,97,1
4413.0,13,2
3100.0,30,4
5057.0,149,2
4557.0,155,1
14584.0,76,6
3463.0,59,3
5590.0,43,3
1616.0,191,1
1345.0,96,1
1709.0,148,1
630.5,103,1
2930.0,118,1
795.0,125,1
28769.0,133,1
5421.0,11,2
6928.0,95,3
6514.0,1,1
3464.0,156,1
876.0,77,1
10984.0,66,3
2964.0,32,1
4380.5,149,1
2412.0,192,1
12775.0,34,4
5815.0,27,6
18617.0,5,11
4666.5,84,2
7409.0,125,3
21914.5,39,5
5998.5,32,5
4147.0,153,1
5103.0,146,2
5485.0,98,2
868.0,181,1
9534.5,89,4
4043.5,151,2
1245.5,43,1
1616.0,39,1
11004.5,16,4
3551.5,61,3
1305.5,116,1
578.5,149,1
6499.0,5,6
751.0,122,1
1355.0,144,1
1849.0,114,1
15888.5,25,5
48.0,34,1
4957.0,17,4
74366.0,9,33
9916.0,32,3
17268.5,1,5
4339.0,9,3
36629.5,3,17
25239.5,56,6
15107.5,26,5
11018.0,16,4
4235.0,108,2
5720.0,25,8
2150.5,34,1
7202.0,4,5
6165.0,24,2
6410.0,55,1
2423.0,168,1
7661.0,83,4
12575.5,140,7
3323.0,73,1
1750.0,173,1
3894.0,97,1
10785.0,136,3
9516.68,27,9
2609.5,111,1
5190.5,79,3
3527.0,47,2
7023.0,40,5
3583.0,12,2
6990.5,120,3
2199.0,169,1
4896.5,77,3
2644.0,125,1
2145.0,98,2
13664.5,77,2
23125.039999999997,14,9
2113.0,108,1
8707.5,48,4
828.0,4,1
8836.5,101,5
80793.0,5,36
7927.5,20,6
735.0,115,1
3516.0,81,1
1547.0,110,1
3486.0,87,1
2298.0,49,1
41978.0,31,12
2194.0,27,1
24.0,137,1
1523.0,151,1
823.0,188,1
65771.5,19,16
36923.0,37,6
1956.0,112,1
2470.0,169,1
10517.5,26,2
2106.0,145,1
5321.0,59,3
4632.0,36,1
3388.0,11,2
1962.0,160,1
6964.0,156,2
8426.0,6,3
4153.0,161,3
3348.0,162,1
3080.0,32,1
38830.5,3,14
5072.0,130,1
3604.5,84,2
6057.0,5,3
1213.5,148,1
1108.7,69,1
574.0,160,1
5234.0,75,5
2436.0,32,1
1536.0,153,1
897.0,87,1
1502.5,109,2
3329.0,96,2
4275.0,165,1
1482.0,47,2
1095.5,10,1
1339.0,2,1
2009.0,55,2
1838.5,147,1
2048.0,13,2
2502.0,105,1
982.5,85,1
3178.0,171,1
6577.0,10,2
2639.0,126,1
772.0,87,1
683.0,52,1
2167.5,171,1
8147.0,36,3
1208.0,105,1
946.0,78,1
1255.0,183,1
1432.0,134,1
918.0,155,1
592.0,153,1
7710.0,36,2
8799.0,70,3
6055.5,140,2
1855.0,132,3
7180.5,2,5
2532.0,192,1
1802.0,172,2
2385.0,169,1
725.0,148,1
3131.5,144,2
1735.0,188,1
2903.0,82,1
616.0,105,1
2452.5,162,1
1249.0,61,1
554.5,46,1
6400.0,61,3
1099.0,154,1
4.0,151,1
1131.0,62,1
523.5,3,1
6225.0,112,2
835.0,96,1
2175.0,36,1
728.0,103,1
1536.0,18,1
2829.0,101,1
1229.0,15,1
4584.0,97,1
1367.0,99,1
467.5,39,1
1476.0,48,1
1395.0,120,1
4822.0,40,7
2067.0,26,2
2420.0,26,2
13523.5,3,4
4222.5,152,2
409.0,160,1
4971.0,153,1
5553.0,35,3
7330.0,69,2
20998.0,6,7
1130.0,110,1
7517.0,81,2
3544.0,62,2
4225.5,149,2
6477.0,134,1
846.0,59,1
2193.0,68,1
2492.0,35,1
30907.5,7,10
6237.0,2,2
1738.0,152,1
2404.0,28,1
4233.0,104,2
5363.0,148,2
3103.0,47,2
2843.0,135,1
5232.0,57,2
3312.0,180,1
1794.0,73,1
2753.0,78,1
1017.0,192,1
5196.0,9,2
3166.0,109,1
7554.0,106,1
2224.0,158,1
3157.0,118,2
4748.0,156,2
2626.0,105,2
599.0,137,1
1502.0,138,1
686.0,172,1
7421.5,15,4
939.5,169,1
1386.5,153,2
8982.0,4,6
13862.0,9,4
6943.5,11,5
6424.0,152,1
5062.5,62,2
4737.0,127,4
3601.0,166,1
2581.0,45,2
695.0,133,1
7905.0,50,1
16586.0,23,5
8437.0,104,3
4142.0,11,3
30183.5,36,7
5272.0,19,2
1101.0,101,1
8421.0,132,3
1883.0,150,1
6381.0,178,1
1351.0,128,1
3172.5,148,2
6652.0,68,3
5880.5,67,4
16088.0,27,6
7705.0,146,1
353.05,112,1
1126.0,136,1
6712.5,43,6
1459.0,124,1
756.0,148,1
2440.5,18,2
637.0,161,1
3402.4000000000005,13,1
3436.0,166,1
11607.0,71,4
5125.0,72,3
1337.5,176,1
2472.0,126,1
3216.5,26,2
3447.0,160,1
3164.0,5,1
2350.0,7,1
3610.0,164,3
5153.0,41,2
2162.0,83,1
3884.0,6,2
2212.0,158,1
7239.0,118,4
1421.0,56,1
216.0,48,2
465.5,36,1
40.0,31,1
5845.0,84,3
8884.0,73,3
612.0,170,1
8293.0,129,4
1661.5,148,2
1870.0,12,1
744.0,104,1
2230.0,33,2
731.0,172,1
447.0,174,1
1791.0,173,1
855.0,161,1
1250.0,149,1
4778.5,13,6
6816.0,186,1
10355.5,48,3
6509.5,78,4
2405.0,182,1
2101.0,131,1
7032.0,94,3
2963.0,181,2
31911.5,1,21
3098.0,157,1
701.0,144,1
13485.0,26,10
3691.0,187,3
1213.0,104,1
1903.0,47,2
4199.0,138,1
3421.5,71,3
1799.0,160,1
4668.0,72,1
5072.0,139,2
5885.0,189,1
850.0,192,1
1219.0,36,1
33656.0,3,11
634.0,90,1
6017.5,2,5
2283.0,25,1
872.56,172,1
5000.0,162,1
620.0,168,1
8880.5,39,7
7260.01,27,2
6565.0,70,2
3576.0,20,1
3296.0,179,1
7356.0,54,4
683.0,1,1
16369.0,3,8
1132.5,166,1
7709.5,122,6
2506.0,167,2
4224.5,48,3
6223.0,35,2
6545.0,15,6
13675.0,2,9
3541.5,5,3
11876.0,6,8
3031.5,73,4
3288.5,20,2
3325.0,26,1
2607.0,157,1
3689.0,15,3
1743.0,6,2
3656.0,118,2
1558.0,47,1
3079.5,50,2
19041.5,70,3
8151.0,96,4
3760.0,51,4
8127.560000000002,163,1
853.0,24,1
1536.0,153,2
2184.0,47,1
4082.0,132,3
1551.5,13,1
411.24,101,1
1266.0,70,1
727.0,161,1
31374.440000000002,40,17
10748.0,153,4
2350.0,166,2
464.0,157,1
9212.36,143,3
623.0,70,1
754.5,113,1
3877.7,164,3
13596.0,43,4
5912.0,40,1
4538.32,17,2
1386.5,86,1
1895.0,183,1
9333.62,64,4
1340.0,165,1
12769.16,14,5
4485.0,4,3
6378.5,128,3
8398.880000000001,34,4
1399.0,152,1
22473.36,52,11
1147.5,42,1
