会员编号,money,recent,frequency
1027348110,2.0,106,1
1027478498,2573.0,47,4
1028207630,1705.0,111,1
1028211299,1083.5,99,1
1028304386,807.5,90,1
1028406822,406.5,118,1
1028821489,953.5,145,1
1028864480,591.5,167,1
1029757994,1140.0,126,1
1030890931,1748.0,30,1
1033252013,2198.0,74,1
1033252014,35245.5,20,10
1033252016,1104.5,6,1
1033252018,9948.0,129,3
1033252019,7940.0,12,4
1033252020,16890.5,35,6
1033252021,17665.5,13,5
1033252023,15306.0,146,2
1033252027,460525.82,1,98
1033252028,68401.5,5,37
1033252029,1148.0,61,1
1033252030,75.0,179,1
1033252031,1417.0,31,2
1033252032,15881.74,37,7
1033252033,1261.5,50,1
1033252035,1209.0,12,1
1033252036,18384.0,7,8
1033252037,2124.0,190,1
1033252038,743.5,136,1
1033252041,4493.0,14,2
1033252043,7820.5,61,3
1033252045,5438.5,61,4
1033252049,2000.0,98,1
1033252051,6993.0,17,3
1033252052,8243.5,23,2
1033252054,802.0,188,1
1033252061,1267.0,3,1
1033252062,6531.0,12,5
1033252063,3198.0,183,1
1033252064,1710.0,117,1
1033252068,1797.5,19,1
1033252071,23123.0,3,5
1033252073,1797.0,24,3
1033252077,2084.5,153,2
1033252079,1760.0,19,1
1033252080,2956.0,84,2
1033252081,2292.0,35,1
1033252084,771.0,56,1
1033252086,286901.5,2,66
1033252088,12127.0,27,3
1033252089,1920.0,106,1
1033252090,2230.0,152,2
1033252094,536.0,55,1
1033252095,5351.0,185,1
1033252106,16400.24,45,3
1033252107,8234.0,41,3
1033252108,1888.0,161,1
1033252110,1122.0,166,1
1033252111,3568.0,28,3
1033252115,1097.0,31,1
1033252116,1341.0,82,2
1033252117,8719.5,34,4
1033252120,3211.0,73,2
1033252122,7254.5,40,5
1033252123,2886.0,161,1
1033252127,12734.0,43,5
1033252129,11306.0,70,5
1033252130,717.0,76,1
1033252144,3279.5,20,2
1033252149,1571.0,24,1
1033252151,2206.0,29,2
1033252152,2567.5,4,2
1033252153,741.5,133,1
1033252155,5341.0,103,2
1033252156,3192.5,135,2
1033252160,22311.5,102,3
1033252164,12568.0,17,4
1033252166,9412.5,13,9
1033252167,5423.0,84,1
1033252168,8757.5,44,3
1033252171,20556.0,21,13
1033252172,7907.0,95,2
1033252173,8106.5,140,3
1033252176,7608.5,77,4
1033252182,698.0,174,1
1033252188,1694.0,155,1
1033252191,8908.0,21,5
1033252194,9419.0,13,10
1033252205,1566.0,93,1
1033252273,5431.0,192,1
1033252332,5590.0,43,3
1033252395,7409.0,125,3
1033252410,868.0,181,1
1033252416,4043.5,151,2
1033252447,751.0,122,1
1033252538,7202.0,4,5
