会员编号,money,recent,frequency,sex,age
1027478498,439.5,4,20,2,21
1030794986,1.0,57,1,1,37
1030797014,248.0,38,15,1,31
1030904479,4.0,50,2,2,36
1033252014,1309.0,39,29,2,36
1033252017,882.5,30,21,2,36
1033252018,15167.0,3,201,2,36
1033252020,16348.0,6,116,2,36
1033252021,4868.5,20,52,2,36
1033252022,9286.0,60,35,2,36
1033252024,3396.0,59,31,1,36
1033252026,1632.0,59,30,2,36
1033252027,96301.0,2,816,2,36
1033252028,11131.0,13,227,2,36
1033252030,6109.5,31,69,2,36
1033252031,2343.0,23,45,1,36
1033252032,2192.0,37,35,1,36
1033252036,8613.0,10,118,1,36
1033252037,4373.0,16,58,1,34
1033252041,14192.0,52,31,2,36
1033252045,1244.0,18,23,1,36
1033252051,3683.5,32,33,1,36
1033252054,688.0,60,21,2,36
1033252059,958.0,59,21,2,36
1033252065,4372.5,35,38,2,36
1033252071,4263.84,8,65,2,36
1033252072,2403.0,20,29,1,36
1033252073,928.5,23,22,2,36
1033252075,3519.5,36,26,2,36
1033252076,2319.0,43,26,2,36
1033252080,15547.0,35,99,2,36
1033252084,5118.0,14,62,2,36
1033252085,1714.0,50,23,1,36
1033252086,63311.18,1,561,2,36
1033252090,917.0,32,19,2,36
1033252092,4171.0,14,57,1,36
1033252093,916.5,18,18,1,36
1033252095,1741.5,16,34,2,36
1033252097,1051.0,49,22,2,36
1033252100,2090.0,46,26,2,36
1033252101,857.5,35,17,1,36
1033252104,8532.5,34,66,2,36
1033252107,9140.5,29,81,1,30
1033252108,972.0,22,22,1,27
1033252109,1252.5,6,41,1,37
1033252117,5275.0,30,63,1,36
1033252120,1719.0,32,27,2,36
1033252122,3643.0,52,58,2,36
1033252128,3868.0,25,70,2,36
1033252129,3724.0,29,48,2,36
1033252137,1949.0,38,24,2,36
1033252140,3025.0,6,34,2,36
1033252144,1235.0,46,19,2,36
1033252145,2112.0,37,29,2,36
1033252148,3356.5,11,59,2,36
1033252156,6467.0,15,35,2,36
1033252160,3070.0,44,26,2,36
1033252164,6077.0,24,112,1,36
1033252166,6249.0,5,120,2,36
1033252170,1387.8999999999999,40,25,2,36
1033252171,7087.0,16,115,2,36
1033252176,707.0,58,16,2,36
1033252181,611.0,55,24,2,36
1033252191,11083.0,4,146,2,36
1033252194,4275.0,11,90,2,36
1033252332,20.0,40,1,2,28
1033252416,1486.0,24,25,1,21
1033252538,1718.0,7,39,2,37
1033252591,10403.0,33,27,2,31
1033252626,30341.5,3,404,2,34
1033252632,4861.0,3,32,2,49
1033252641,6999.5,16,80,2,60
1033252654,1309.0,31,23,2,44
1033252662,15911.5,3,120,2,46
1033252663,7855.0,2,125,1,33
1033252679,1805.0,51,31,2,35
1033252682,1465.5,35,23,2,36
1033252698,2267.0,4,31,2,30
1033352126,1627.0,25,39,2,36
1033352131,2600.0,45,26,2,36
1033352137,1063.0,43,19,2,36
1033352138,332.5,51,17,2,36
1033352144,1414.0,31,21,2,36
1033352149,1167.0,9,23,2,36
1033352151,2619.0,37,28,2,36
1033352322,1418.0,35,25,1,37
1033352335,3115.0,10,23,1,30
1033352364,335.5,39,17,1,41
1033352423,325.5,36,21,1,34
1033352424,277.0,39,15,2,50
1033352606,3472.5,9,26,1,44
1033355341,1619.0,25,30,2,36
1033355343,3462.0,53,56,2,36
1033355350,3812.0,31,49,2,36
1033355397,1680.0,17,25,2,40
1033355439,2469.0,4,28,2,43
1033355460,1431.0,31,24,1,45
1033355509,1343.0,24,24,1,33
1033355532,335.5,37,22,2,46
1033355627,228.5,38,14,2,30
1033355629,787.5,14,26,1,37
1033355674,2421.5,17,24,2,43
1033355681,731.0,7,19,1,42
1033355785,2561.0,32,28,1,44
1033355804,2647.5,31,30,2,35
1033359652,7553.5,2,165,1,36
1033359653,9030.0,23,85,2,36
1033359654,6460.0,37,73,2,36
1033359655,550.5,8,18,1,36
1033359656,6663.0,19,60,2,36
1033359658,2555.0,52,31,1,36
1033359660,765.0,58,18,2,36
1033359672,1703.0,38,42,2,36
1033359676,2404.0,22,24,1,30
1033359677,11947.0,2,147,2,36
1033359681,5993.5,53,60,2,36
1033359682,17668.0,20,100,2,51
1033359684,5630.0,45,29,2,36
1033359686,1338.0,56,22,2,36
1033359687,8093.0,59,65,2,36
1033359688,1174.0,57,18,1,30
1033359689,2991.0,6,29,2,36
1033359705,1777.0,1,22,2,36
1033359710,6666.0,2,31,2,36
1033359713,3473.0,28,32,2,36
1033359721,923.0,57,19,2,36
1033359722,2116.5,18,27,2,36
1033359727,1759.0,15,19,2,36
1033359729,2062.0,59,24,1,43
1033359730,880.0,55,23,2,34
1033359733,1163.0,52,23,2,36
1033359749,594.5,52,20,1,27
1033359759,674.0,53,19,2,36
1033359760,64.0,58,4,2,36
1033359766,2948.5,3,45,2,36
1033359767,2260.0,43,28,1,36
1033359780,2207.5,38,23,2,35
1033359783,779.0,54,21,2,36
1033359790,1921.5,35,27,2,36
1033359802,1708.0,18,23,2,36
1033359806,2424.5,26,29,2,36
1033359811,800.0,32,18,2,36
1033359812,5779.0,5,47,2,36
1033359814,776.0,2,21,1,36
1033359816,4124.0,1,31,2,36
1033359823,5662.0,19,83,2,36
1033359828,3039.5,1,64,2,34
1033359841,1830.0,52,26,2,36
1033359875,6932.0,20,34,2,36
1033359936,5780.0,5,86,1,33
1033360045,2633.5,2,41,1,59
1033360121,3238.0,59,31,2,35
1033360196,2172.0,57,23,1,25
1033360274,1366.0,14,26,2,42
1033360486,808.5,38,18,2,49
1033360499,1225.0,14,22,2,33
1034949069,757.0,45,22,2,36
1034949071,1481.0,46,25,1,36
1034949072,413.5,12,19,2,36
1034949075,2462.0,46,25,2,36
1034949077,2650.0,8,25,2,36
1034949078,3074.64,3,42,2,36
1034949080,1823.0,39,27,1,36
1034949082,7494.5,10,56,1,29
1034949083,15321.46,2,365,2,36
1034949087,1005.0,23,23,2,36
1034949089,1826.0,11,53,2,36
1034949095,3351.0,5,28,2,36
1034949096,2055.0,2,22,2,36
1034949099,4343.679999999999,26,30,2,36
1034949105,7054.0,43,78,2,36
1034949108,1086.0,28,14,2,36
1034949116,2704.0,9,47,2,36
1034949118,878.0,32,24,2,35
1034949120,5243.0,2,52,2,36
1034949121,2278.0,9,27,2,36
1034949126,3395.0,31,44,2,36
1034949127,1580.3199999999997,6,26,2,36
1034949131,1987.0,9,24,2,36
1034949135,2990.0,23,27,2,36
1034949140,8741.14,16,139,2,36
1034949141,2715.0,11,52,1,51
1034949143,1058.0,30,23,2,36
1034949161,7118.0,2,60,1,36
1034949163,4858.0,5,53,2,36
1034949169,4845.5,32,50,2,36
1034949182,1382.5600000000002,26,25,2,36
1034949185,2149.0,5,24,1,36
1034949200,5587.5,22,31,2,36
1034949209,735.0,32,15,1,31
1034949422,1528.0,26,19,1,33
1034969982,3028.0,35,33,2,36
1034970026,7707.6,4,99,1,36
1035358873,1565.5,35,22,2,36
1035469288,5983.0,5,57,2,36
1035469289,1722.0,18,56,2,36
1035469290,1479.0,20,39,1,39
1035469291,2268.5,9,44,2,36
1035469299,3150.5,28,32,1,48
1035469300,4963.0,16,53,2,15
1035469302,6231.0,10,58,2,37
1035469303,5604.0,10,80,1,36
1035469309,2623.0,9,28,1,36
1035469310,2287.0,37,27,1,28
1035469316,3177.0,11,31,2,36
1035469320,495.0,36,20,2,36
1035469322,5593.0,9,57,2,36
1035469325,2579.5,32,45,2,36
1035469328,2255.0,21,29,2,36
1035469329,5593.0,18,57,2,36
1035469331,2670.0,11,32,1,37
1035469336,8133.5,24,119,1,35
1035469337,600.0,35,20,1,36
1035469343,1195.0,32,20,2,36
1035469344,1037.5,30,20,2,20
1035469345,937.0,32,23,2,36
1035469347,10797.0,1,127,2,36
1035469348,4744.0,18,63,1,36
1035469351,1471.0,20,23,1,34
1035469352,1552.0,27,25,1,36
1035469353,3982.51,3,67,2,36
1035469356,2281.5,14,48,2,36
1035469357,2384.0,32,27,2,36
1035469359,3573.0,36,46,2,36
1035469361,830.0,18,22,2,31
1035469362,1780.0,21,24,2,36
1035469364,2128.5,24,45,2,36
1035469365,767.0,39,20,1,36
1035469368,809.0,6,19,1,36
1035469369,3403.0,6,30,1,36
1035469370,2521.0,17,42,2,36
1035469373,9348.0,42,72,2,36
1035469377,3733.5,31,71,1,36
1035469378,1775.0,38,23,2,36
1035469380,7358.0,24,62,2,36
1035469381,1189.0,44,22,2,36
1035469384,2273.0,28,22,2,36
1035469387,1872.0,38,24,1,36
1035469389,1119.0,1,20,2,37
1035469391,2104.0,30,31,2,36
1035469393,6084.0,7,90,1,36
1035469394,4608.0,31,29,2,36
1035469395,967.0,25,18,1,31
1035469397,4114.0,20,75,1,36
1035469398,2304.0,46,26,2,36
1035469400,799.0,37,19,2,36
1035469401,1065.0,15,35,1,36
1035469402,1040.5,33,25,2,31
1035469405,3247.5,5,63,2,34
1035469406,2231.0,5,23,1,37
1035469408,2919.0,19,29,2,36
1035469409,8366.0,33,70,2,37
1035469411,4548.0,25,56,1,36
1035469412,14113.5,15,119,1,36
