会员编号,money,recent,frequency,sex,age
1027348110,2.0,106,2,2,37
1027478498,2573.0,47,86,2,21
1028207630,1705.0,111,31,1,43
1028211299,1083.5,99,23,1,22
1028304386,807.5,90,23,1,26
1028406822,406.5,118,22,1,25
1028821489,953.5,145,22,1,26
1028864480,591.5,167,11,1,28
1029757994,1140.0,126,19,2,41
1030890931,1748.0,30,25,2,27
1033252013,2198.0,74,29,2,36
1033252014,35241.5,20,245,2,36
1033252016,1104.5,6,22,1,36
1033252018,9948.0,129,93,2,36
1033252019,7940.0,12,73,1,36
1033252020,16890.5,35,148,2,36
1033252021,13682.5,13,118,2,36
1033252023,10539.0,146,70,2,36
1033252027,443064.82,1,3808,2,36
1033252028,67770.0,5,959,2,36
1033252029,1148.0,61,18,2,36
1033252030,75.0,179,3,2,36
1033252031,1417.0,31,40,1,36
1033252032,15881.74,37,205,1,36
1033252033,1261.5,50,28,2,36
1033252035,1209.0,12,18,2,36
1033252036,15377.0,7,219,1,36
1033252037,2124.0,190,31,1,34
1033252038,743.5,136,18,1,36
1033252041,4493.0,14,56,2,36
1033252043,7820.5,61,85,1,36
1033252045,5438.5,61,97,1,36
1033252049,2000.0,98,26,2,36
1033252051,6993.0,17,70,1,36
1033252052,6011.5,23,66,1,36
1033252054,802.0,188,22,2,36
1033252061,1267.0,3,23,1,36
1033252062,6531.0,12,143,2,36
1033252063,3198.0,183,29,2,36
1033252064,1710.0,117,26,2,36
1033252068,1797.5,19,25,2,36
1033252071,22935.0,3,167,2,36
1033252073,1797.0,24,60,2,36
1033252077,2084.5,153,47,1,36
1033252079,1760.0,19,24,2,36
1033252080,2956.0,84,45,2,36
1033252081,2292.0,35,30,2,36
1033252084,771.0,56,20,2,36
1033252086,271744.5,2,2045,2,36
1033252088,12127.0,27,79,2,36
1033252089,1920.0,106,31,2,36
1033252090,2230.0,152,55,2,36
1033252094,536.0,55,14,1,36
1033252095,5351.0,185,39,2,36
1033252106,13876.740000000002,45,97,1,36
1033252107,8234.0,41,82,1,30
1033252108,1888.0,161,33,1,27
1033252110,1122.0,166,26,1,36
1033252111,3568.0,28,64,2,36
1033252115,1097.0,31,21,2,36
1033252116,1341.0,82,53,1,32
1033252117,8719.5,34,120,1,36
1033252120,3211.0,73,53,2,36
1033252122,7254.5,40,121,2,36
1033252123,2886.0,161,26,2,36
1033252127,12734.0,43,123,2,32
1033252129,11306.0,70,124,2,36
1033252130,717.0,76,23,1,36
1033252144,3279.5,20,48,2,36
1033252149,1571.0,24,21,2,36
1033252151,2206.0,29,30,2,36
1033252152,2567.5,4,44,2,36
1033252153,741.5,133,17,1,36
1033252155,5341.0,103,62,1,36
1033252156,3192.5,135,51,2,36
1033252160,22311.5,102,108,2,36
1033252164,12568.0,17,112,1,36
1033252166,9412.5,13,182,2,36
1033252167,5423.0,84,39,2,36
1033252168,8757.5,44,84,1,36
1033252171,20556.0,21,303,2,36
1033252172,7907.0,95,59,2,36
1033252173,8106.5,140,88,2,36
1033252176,7606.5,77,110,2,36
1033252182,698.0,174,16,2,36
1033252188,1694.0,155,28,1,29
1033252191,8908.0,21,133,2,36
1033252194,9419.0,13,218,2,36
1033252205,1566.0,93,27,2,37
1033252273,5431.0,192,36,2,34
1033252332,5590.0,43,77,2,28
1033252395,7409.0,125,83,2,33
1033252410,868.0,181,26,2,35
1033252416,4043.5,151,54,1,21
1033252447,751.0,122,21,1,24
1033252538,7202.0,4,129,2,37
1033252587,6990.5,120,81,1,52
1033252591,4896.5,77,67,2,31
1033252626,80497.0,5,972,2,34
1033252627,7927.5,20,129,1,27
1033252632,3516.0,81,29,2,49
1033252640,2298.0,49,29,2,36
1033252641,41939.0,31,353,2,60
1033252643,2194.0,27,28,2,46
1033252648,24.0,137,2,2,36
1033252657,1523.0,151,26,2,54
1033252659,823.0,188,22,2,39
1033252662,64683.5,19,535,2,46
1033252663,36923.0,37,173,1,33
1033252666,1956.0,112,28,2,23
1033252670,2470.0,169,24,2,33
1033252674,2106.0,145,31,2,32
1033252679,5321.0,59,86,2,35
1033252680,4632.0,36,27,2,36
1033252682,3388.0,11,49,2,36
1033252683,1962.0,160,27,2,40
1033252685,6964.0,156,57,2,49
1033252690,8426.0,6,80,2,49
1033252698,3080.0,32,29,2,30
1033352130,5072.0,130,26,2,36
1033352131,3604.5,84,51,2,36
1033352132,6057.0,5,73,2,36
1033352138,1213.5,148,24,2,36
1033352142,1108.7,69,23,2,36
1033352144,574.0,160,15,2,36
1033352149,5234.0,75,103,2,36
1033352301,1095.5,10,23,1,31
1033352315,1339.0,2,23,1,36
1033352322,2009.0,55,54,1,37
1033352364,1838.5,147,22,1,41
1033352503,982.5,85,22,1,59
1033352609,2639.0,126,31,1,12
1033352661,772.0,87,21,1,30
1033352669,683.0,52,19,2,34
1033355335,8799.0,70,97,2,47
1033355337,6055.5,140,59,2,36
1033355338,1855.0,132,45,2,36
1033355341,7180.5,2,117,2,36
1033355346,2532.0,192,28,2,36
1033355350,1802.0,172,42,2,36
1033355352,2176.0,169,32,2,36
1033355357,3131.5,144,49,1,25
1033355397,2903.0,82,29,2,40
1033355437,616.0,105,21,1,42
1033355439,2452.5,162,28,2,43
1033355460,554.5,46,19,1,45
1033355483,6400.0,61,83,2,39
1033355562,1099.0,154,24,1,36
1033355570,1131.0,62,25,1,31
1033355587,6225.0,112,60,1,51
1033355604,835.0,96,18,2,27
1033355627,728.0,103,19,2,30
1033355688,2829.0,101,28,1,37
1033355804,1476.0,48,24,2,35
1033358417,1395.0,120,24,2,36
1033359652,4822.0,40,120,1,36
1033359653,2067.0,26,43,2,36
1033359654,2420.0,26,40,2,36
1033359656,13425.5,3,128,2,36
1033359662,4222.5,152,52,1,36
1033359675,409.0,160,20,1,36
1033359676,4971.0,153,22,1,30
1033359677,5553.0,35,75,2,36
1033359680,7330.0,69,59,2,36
1033359681,20998.0,6,173,2,36
1033359682,1130.0,110,25,2,51
1033359683,7517.0,81,58,2,36
1033359689,3544.0,62,40,2,36
1033359700,4225.5,149,51,1,38
1033359705,6298.0,134,39,2,36
1033359712,846.0,59,16,1,36
1033359713,2193.0,68,25,2,36
1033359715,2492.0,35,23,2,36
1033359722,25881.5,7,274,2,36
1033359727,6237.0,2,54,2,36
1033359728,1738.0,152,25,2,46
1033359739,2404.0,28,21,1,36
1033359742,4233.0,104,43,1,36
1033359749,5363.0,148,49,1,27
1033359752,3103.0,47,50,2,36
1033359760,2843.0,135,31,2,36
1033359767,5232.0,57,51,1,36
1033359770,3312.0,180,32,2,36
1033359774,1794.0,73,23,2,36
1033359776,2753.0,78,24,2,36
1033359779,1017.0,192,20,2,28
1033359781,5196.0,9,57,2,36
1033359783,3166.0,109,26,2,36
1033359786,7154.0,106,51,2,36
1033359789,2224.0,158,26,2,36
1033359790,3157.0,118,48,2,36
1033359798,4748.0,156,55,2,36
1033359802,2626.0,105,40,2,36
1033359803,599.0,137,17,2,36
1033359806,1502.0,138,22,2,36
1033359811,686.0,172,19,2,36
1033359812,7421.5,15,102,2,36
1033359814,939.5,169,19,1,36
1033359815,1386.5,153,39,1,36
1033359818,8982.0,4,144,2,30
1033359821,13862.0,9,112,2,36
1033359823,6943.5,11,107,2,36
1033359832,6424.0,152,31,2,36
1033359833,5062.5,62,50,2,36
1033359834,4737.0,127,80,2,36
1033359838,3601.0,166,29,2,36
1033359840,2581.0,45,42,2,36
1033359847,695.0,133,15,1,36
1033359853,7905.0,50,32,1,36
1033359858,16132.0,23,150,1,36
1033359866,8437.0,104,85,1,36
1033359870,4142.0,11,64,2,36
1033359876,30106.5,36,219,2,36
1033359882,5272.0,19,49,2,36
1033359929,1351.0,128,26,1,36
1033359936,6652.0,68,88,1,33
1033360045,6712.5,43,126,1,59
1033360121,11607.0,71,99,2,35
1033360159,5125.0,72,61,1,50
1033360172,2472.0,126,24,2,42
1033360178,3216.5,26,58,2,57
1033360499,3884.0,6,47,2,33
1033384334,40.0,31,2,2,20
1034949069,4778.5,13,120,2,36
1034949070,6816.0,186,27,2,36
1034949071,10355.5,48,86,1,36
1034949073,6509.5,78,96,2,36
1034949074,2405.0,182,27,2,36
1034949075,2101.0,131,24,2,36
1034949076,6896.0,94,93,2,36
1034949077,2963.0,181,44,2,36
1034949078,31766.5,1,456,2,36
1034949079,3098.0,157,28,2,36
1034949081,701.0,144,16,2,36
1034949082,13485.0,26,178,1,29
1034949083,3608.0,187,75,2,36
1034949086,1213.0,104,20,2,36
1034949087,1903.0,47,28,2,36
1034949088,4199.0,138,31,2,36
1034949089,3421.5,71,60,2,36
1034949092,1799.0,160,20,2,36
1034949096,4668.0,72,24,2,36
1034949097,5072.0,139,44,2,36
1034949098,5469.0,189,34,2,36
1034949102,850.0,192,20,2,36
1034949103,1219.0,36,22,2,36
1034949105,30842.0,3,310,2,36
1034949106,634.0,90,19,2,36
1034949108,6017.5,2,108,2,36
1034949109,2283.0,25,32,2,36
1034949112,872.56,172,21,2,36
1034949114,5000.0,162,35,2,36
1034949115,620.0,168,17,2,36
1034949116,8880.5,39,146,2,36
1034949118,5020.51,27,51,2,35
1034949120,6565.0,70,55,2,36
1034949122,3576.0,20,23,2,36
1034949124,3296.0,179,29,2,36
1034949126,7356.0,54,90,2,36
1034949129,683.0,1,18,2,36
1034949130,14664.5,3,182,2,36
1034949131,1132.5,166,24,2,36
1034949133,7504.5,122,134,2,36
1034949134,2506.0,167,36,2,36
1034949138,4224.5,48,64,2,36
1034949139,6223.0,35,53,2,36
1034949140,6545.0,15,120,2,36
1034949141,13675.0,2,177,1,51
1034949147,3541.5,5,40,2,36
1034949152,11876.0,6,166,2,36
1034949159,3031.5,73,75,2,36
1034949161,3288.5,20,41,1,36
1034949163,3325.0,26,24,2,36
1034949169,2607.0,157,24,2,36
1034949174,3689.0,15,63,2,36
1034949176,1743.0,6,41,2,36
1034949177,3656.0,118,45,2,36
1034949179,1558.0,47,26,2,36
1034949180,3079.5,50,57,2,36
1034949183,19041.5,70,94,2,36
1034949185,7696.0,96,126,1,36
1034949188,3744.0,51,92,2,36
1034949200,7926.160000000002,163,51,2,36
1034949242,623.0,70,20,2,34
1034949422,4800.0,36,49,1,33
1034969972,1244.0,131,18,2,36
1034970027,1745.0,184,24,2,36
1034970062,896.0,8,21,2,36
1034970086,1027.0,74,19,2,29
1034970117,2711.2200000000003,90,47,1,41
1034970323,5714.0,6,65,1,41
1035358873,3900.5,54,108,2,36
1035469289,5427.0,170,65,2,36
1035469290,9955.0,60,184,1,39
1035469291,2291.0,166,28,2,36
1035469296,3491.0,158,32,2,36
1035469297,9899.0,152,82,2,36
1035469298,3368.5,165,58,2,36
1035469299,2355.0,127,30,1,48
1035469300,1370.0,192,25,2,15
1035469303,15089.0,32,145,1,36
1035469305,4859.0,165,56,1,36
1035469306,2519.0,34,44,1,36
1035469307,2441.5,45,47,2,36
1035469309,4728.0,116,55,1,36
1035469310,6658.0,73,55,1,28
1035469311,2692.0,93,48,1,36
1035469312,2068.0,160,26,1,36
1035469313,4934.5,7,81,2,36
1035469316,20486.0,6,174,2,36
1035469317,1882.5,80,48,2,38
1035469320,10500.5,7,212,2,36
1035469322,15598.5,16,132,2,36
1035469328,2157.0,183,26,2,36
1035469329,2263.0,111,29,2,36
1035469335,3850.5,65,45,1,36
1035469336,11764.0,133,88,1,35
